Name,"# Educational Attainment | High school graduate (includes equivalency), 2020 [Estimated]","# Employment Status | In labor force, 2020 [Estimated]","# Total Population, 2020 [Estimated]","# Vehicles Available | No vehicle available, 2020 [Estimated]","# Vehicles Available | Occupied housing units, 2020 [Estimated]","% Educational Attainment | High school graduate (includes equivalency), 2020 [Estimated]","% Employment Status | In labor force, 2020 [Estimated]","% Poverty Status by Age | In Poverty, 2020 [Estimated]","% Purchasing: By Internet: In last 12 months: Food (Groceries), 2020","% Purchasing: Catalog And Internet, Phone & Mail Shopping - Amount Spent In Total: $800+, 2020","% Purchasing: Catalog And Internet, Phone & Mail Shopping - Amount Spent In Total: Less than $50, 2020","% Sadness - Some of the time, 2020","% Sadness- All or most of the time, 2020","% Transportation to Work |  Public transportation, 2020 [Estimated]","% Transportation to Work | Car, truck, or van, 2020 [Estimated]","% Transportation to Work | Worked at home, 2020 [Estimated]","% Vehicles Available | No vehicle available, 2020 [Estimated]","Average annual expenditures (Household average), 2020",FIPS,"Food | Food at home (Household average), 2020","Food | Food away from home (Household average), 2020","Housing | Utilities, fuels, and public services (Household average), 2020","Median Household Income, 2020 [Estimated]","Population Density (per square mile), 2020 [Estimated]","Transportation | Gasoline, other fuels, and motor oil (Household average), 2020"
"CT303204, Harford County, MD",711,2361,4356,75,1724,22.1151,64.7025,2.2464,12.8167,27.5333,2.4889,8.1157,2.6759,0,94.6621,5.24,4.3503,70692.2688,24025303204,5901.9084,4775.9065,5117.3865,88882.08591,2680.5164,2743.4401
"CT303205, Harford County, MD",141,811,1668,3,549,12.9003,72.6904,5.9614,13.8132,30.9339,2.2179,7.3503,2.2621,4.2775,87.9769,7.5145,0.5464,78829.7186,24025303205,7152.3703,5015.2523,5887.0168,142798.9588,480.815,3337.0716
"CT303206, Harford County, MD",516,2067,3824,31,1317,20.0544,70.4385,5.4531,13.5559,29.9839,2.2687,7.3693,2.2695,0.3066,94.4303,2.8104,2.3538,74026.5915,24025303206,5830.2181,4590.7459,5491.3638,123143.3843,2792.729,2936.2473
"CT303300, Harford County, MD",1312,3058,6314,18,2242,30.1401,58.4315,4.707,13.451,30.2692,2.2242,7.2679,2.2093,1.1632,92.5077,5.6107,0.8029,78005.3948,24025303300,6756.2028,5333.2783,5763.6412,114853.9699,536.051,3028.4431
"CT303400, Harford County, MD",1065,2518,4760,0,1630,31.25,64.5113,4.4017,13.2932,29.6897,2.2736,7.4235,2.2908,1.8959,93.6265,3.5095,0,77445.5467,24025303400,6099.0342,4924.3255,5803.1024,113798.6182,644.6318,3230.4617
"CT303501, Harford County, MD",1349,3324,7060,432,2710,26.2758,58.338,5.3496,12.6414,27.4953,2.4668,8.0246,2.605,4.3089,79.6277,9.2727,15.941,71791.8314,24025303501,6117.2066,4994.052,5238.193,92616.42004,2133.2463,2742.4432
"CT303502, Harford County, MD",647,1957,3472,4,1239,25.9735,69.0947,5.5588,13.7676,30.4507,2.2394,7.0924,2.1148,1.7378,93.5756,4.1074,0.3228,71787.6875,24025303502,6251.7656,4646.7536,5458.0864,101771.4341,1834.116,2820.7458
"CT303602, Harford County, MD",421,2022,3570,25,1349,15.668,66.7521,2.143,13.2416,29.4632,2.3125,7.6445,2.4076,0,87.9768,9.2709,1.8532,82195.0685,24025303602,6853.1908,5509.3029,6021.4448,124971.063,2310.6647,3244.5093
"CT303603, Harford County, MD",779,3896,6970,108,2254,17.549,71.2378,0,14.4805,31.7362,2.2291,7.1717,2.1311,0.3389,88.8167,10.8162,4.7915,76727.7184,24025303603,6487.3289,4951.743,5825.2772,121423.4611,2482.5651,3094.2194
"CT303605, Harford County, MD",1369,3068,6213,193,2379,33.3658,61.5987,1.3995,12.8839,27.2954,2.5331,8.0746,2.6294,0,94.6739,5.2536,8.1127,66353.4117,24025303605,5605.8466,4145.3675,5067.3523,72409.6143,6094.4627,2560.4438
"CT303606, Harford County, MD",344,1907,3319,28,1001,16.1959,73.344,5.9465,14.7589,32.657,2.1656,7.0155,2.0155,0,85.4348,13.0978,2.7972,79834.3899,24025303606,6732.0531,5583.2164,5940.5444,172781.9895,2608.436,3254.7406
"CT303700, Harford County, MD",786,1747,3829,60,1428,28.3755,50.8241,6.3975,12.4713,27.3822,2.4204,7.8927,2.5912,1.9321,95.9016,1.2881,4.2017,73259.8708,24025303700,6099.4305,4713.4906,5413.7449,94730.2,292.1346,2820.1461
"CT303801, Harford County, MD",453,1555,2698,69,1260,22.6274,71.1734,5.6857,12.0908,25.6539,2.5998,8.2322,2.7497,2.31,87.6596,4.8632,5.4762,70152.8894,24025303801,6054.3015,4483.5046,5294.9445,67107.62407,2354.2141,2754.3491
"CT303802, Harford County, MD",319,1067,2174,20,793,20.5806,58.9096,3.3952,12.33,25.8816,2.5945,8.2154,2.7829,3.0663,89.911,2.5717,2.5221,56963.7184,24025303802,4577.5811,3577.4219,4282.8995,95067.4498,4280.7916,2243.6587
"CT303803, Harford County, MD",626,2406,4532,54,2059,18.5152,61.3788,7.552,12.4988,26.6047,2.5267,8.0746,2.6531,0,96.2248,0.7722,2.6226,69447.8107,24025303803,5839.2105,4487.5759,5187.7492,77080.36689,3686.6509,2634.2003
"CT303900, Harford County, MD",241,1371,2386,17,970,14.9876,72.8033,2.0452,12.6694,26.9363,2.548,7.9761,2.6097,0,90.0929,7.5077,1.7526,69823.7395,24025303900,5590.7893,4889.2073,5120.6108,90574.33305,3006.8555,2877.6968
"CT304101, Harford County, MD",832,2477,4578,57,1614,24.8062,65.5976,5.1939,13.0334,29.261,2.2706,7.4113,2.3119,0,93.4284,3.7613,3.5316,75466.3282,24025304101,6656.8596,5117.0336,5574.7108,100473.4615,193.2675,2957.0568
"CT304102, Harford County, MD",848,2291,4090,10,1331,30.0496,68.0687,4.7829,13.766,30.7703,2.2254,7.1027,2.1314,0,90.2703,9.4595,0.7513,76394.3038,24025304102,6665.5181,5049.9623,5621.5735,102737.2,122.7827,2985.1066
"CT304201, Harford County, MD",703,3710,6673,64,2338,14.3733,69.3584,1.5062,13.5487,30.6162,2.2227,7.2577,2.2024,0.2789,83.2078,12.3291,2.7374,78450.3426,24025304201,6490.5446,4764.7336,5739.29,126424.6095,291.6378,3206.5795
"CT304202, Harford County, MD",1074,3938,6904,28,2291,21.785,66.435,3.6757,13.4076,29.9473,2.265,7.4969,2.3413,0,94.6278,3.7633,1.2222,78557.2218,24025304202,6367.4061,5286.4143,5763.2433,116745.7738,363.1872,3100.4235
"CT305100, Harford County, MD",1737,3938,7877,80,2591,32.7365,61.1307,19.442,12.9654,28.3983,2.399,7.8584,2.5445,0.8584,86.6148,11.427,3.0876,70895.1765,24025305100,5894.8006,4469.2513,5364.9289,90000.5878,161.1578,2905.5542
"CT305200, Harford County, MD",817,1433,2983,58,995,36.2789,58.7669,10.4189,12.1922,26.4272,2.5093,8.2654,2.8005,0,96.6206,0,5.8291,68590.1291,24025305200,5553.0298,4509.4445,5018.4647,84219.19038,190.7943,2617.4447
"CT305300, Harford County, MD",446,1110,1905,4,803,29.6937,69.7335,5.8977,12.351,26.5579,2.5197,8.2674,2.7908,0,87.6892,12.2099,0.4981,71270.7024,24025305300,5913.1521,4937.9477,5228.7226,78673.26197,121.1846,2704.3195
"CT306100, Harford County, MD",1116,2184,4334,171,1777,33.6347,64.1678,16.0632,11.5289,23.783,2.7712,9.126,3.2838,0.1892,93.8032,3.5478,9.623,62243.1165,24025306100,5411.3167,4373.4073,4758.441,47250.12381,3324.5119,2365.9101
"CT306200, Harford County, MD",449,1238,1982,198,970,28.5805,73.2153,18.6575,11.4723,24.044,2.7342,8.9314,3.1525,0,97.9399,0.9442,20.4124,66959.7804,24025306200,5742.5898,4320.5529,4955.831,59280.44053,2665.4115,2628.9547
"CT306300, Harford County, MD",362,1486,2956,59,1182,16.1824,62.6813,4.7718,13.1962,29.3014,2.3254,7.4681,2.3166,0,91.1574,5.6794,4.9915,78724.5764,24025306300,6153.3397,5483.053,6041.0372,112648.8585,508.5434,3254.5192
"CT306400, Harford County, MD",625,3578,5992,95,2464,14.4076,73.1718,0,13.5453,29.5158,2.3368,7.515,2.3523,1.6292,87.1294,11.2089,3.8555,78948.6555,24025306400,6428.808,5006.6271,5712.0574,94569.70733,1422.2475,3128.8431
"CT306500, Harford County, MD",397,1860,3219,18,960,24.4157,86.1613,0.9191,14.5333,29.2,2.4533,7.6944,2.4604,0,85.55,1.4,1.875,59333.7762,24025306500,5131.9732,3890.6821,4326.1363,78623.2,54.5882,2343.5916
"CT400100, Baltimore County, MD",984,1445,4859,635,2243,28.2759,35.4173,18.3517,10.6076,21.9869,2.7956,9.0081,3.128,0.1604,93.344,0,28.3103,68410.6502,24005400100,5705.1527,4484.9365,5104.5205,45041.62027,6713.3659,2673.4511
"CT400200, Baltimore County, MD",318,1628,2351,81,1069,16.8343,73.5102,12.309,12.8522,26.5826,2.5652,8.0312,2.6168,0.7702,87.5481,5.7125,7.5772,69730.254,24005400200,5834.1717,4551.3241,5059.0201,75599.21669,6599.2982,2698.8964
"CT400400, Baltimore County, MD",534,3274,5735,104,2137,12.4157,70.4866,4.2225,13.3905,29.5842,2.3446,7.5612,2.3358,4.1216,79.8305,13.154,4.8666,77444.1676,24005400400,6548.3522,5221.13,5782.0785,123906.8364,1656.5665,3285.3366
